nohup: ignoring input
/data/not_backed_up/ywei51/graph//datagen-sf10k-fb/csm/8192.7_851.txt.UnLabeledSampledVerticesEdge.64   103.062531  3834
/data/not_backed_up/ywei51/graph//datagen-sf10k-fb/csm/8192.7_852.txt.UnLabeledSampledVerticesEdge.64   65.482750   112
/data/not_backed_up/ywei51/graph//datagen-sf3k-fb/csm/8192..UnLabeledSampledVerticesEdge.5_12.txt.64    3913.594971 301792668
/data/not_backed_up/ywei51/graph//datagen-sf3k-fb/csm/8192..UnLabeledSampledVerticesEdge.5_14.txt.64    17362.998047    599659106
/data/not_backed_up/ywei51/graph//datagen-sf3k-fb/csm/8192..UnLabeledSampledVerticesEdge.5_15.txt.64    124.385376  102466843
/data/not_backed_up/ywei51/graph//datagen-sf3k-fb/csm/8192..UnLabeledSampledVerticesEdge.5_16.txt.64    708.116455  41263289
/data/not_backed_up/ywei51/graph//datagen-sf3k-fb/csm/8192..UnLabeledSampledVerticesEdge.5_17.txt.64    438.146057  8329260
/data/not_backed_up/ywei51/graph//datagen-sf3k-fb/csm/8192..UnLabeledSampledVerticesEdge.5_18.txt.64    334.911499  2684617
/data/not_backed_up/ywei51/graph//datagen-sf3k-fb/csm/8192..UnLabeledSampledVerticesEdge.5_19.txt.64    54.073345   429690
/data/not_backed_up/ywei51/graph//datagen-sf3k-fb/csm/8192..UnLabeledSampledVerticesEdge.5_20.txt.64    31.775743   8147
/data/not_backed_up/ywei51/graph//datagen-sf3k-fb/csm/8192..UnLabeledSampledVerticesEdge.6_28.txt.64    73226.703125    535334701324
/data/not_backed_up/ywei51/graph//datagen-sf3k-fb/csm/8192..UnLabeledSampledVerticesEdge.6_47.txt.64    50.084866   183764946
/data/not_backed_up/ywei51/graph//datagen-sf3k-fb/csm/8192..UnLabeledSampledVerticesEdge.6_50.txt.64    520.416260  1844213845
/data/not_backed_up/ywei51/graph//datagen-sf3k-fb/csm/8192..UnLabeledSampledVerticesEdge.6_53.txt.64    6507.165527 9949433529
/data/not_backed_up/ywei51/graph//datagen-sf3k-fb/csm/8192..UnLabeledSampledVerticesEdge.6_62.txt.64    831.087646  1551066118
/data/not_backed_up/ywei51/graph//datagen-sf3k-fb/csm/8192..UnLabeledSampledVerticesEdge.6_107.txt.64   328.236023  436355
/data/not_backed_up/ywei51/graph//datagen-sf3k-fb/csm/8192..UnLabeledSampledVerticesEdge.6_110.txt.64   83.621887   23484
/data/not_backed_up/ywei51/graph//datagen-sf3k-fb/csm/8192..UnLabeledSampledVerticesEdge.6_111.txt.64   50.069279   391
/data/not_backed_up/ywei51/graph//datagen-sf3k-fb/csm/8192..UnLabeledSampledVerticesEdge.7_830.txt.64   337.766388  69437
/data/not_backed_up/ywei51/graph//datagen-sf3k-fb/csm/8192..UnLabeledSampledVerticesEdge.7_845.txt.64   5743.666504 478649
/data/not_backed_up/ywei51/graph//datagen-sf3k-fb/csm/8192..UnLabeledSampledVerticesEdge.7_846.txt.64   862.795776  399904
/data/not_backed_up/ywei51/graph//datagen-sf3k-fb/csm/8192..UnLabeledSampledVerticesEdge.7_847.txt.64   1446.528076 320787
/data/not_backed_up/ywei51/graph//datagen-sf3k-fb/csm/8192..UnLabeledSampledVerticesEdge.7_848.txt.64   427.865082  22717
/data/not_backed_up/ywei51/graph//datagen-sf3k-fb/csm/8192..UnLabeledSampledVerticesEdge.7_850.txt.64   375.906311  15983
/data/not_backed_up/ywei51/graph//datagen-sf3k-fb/csm/8192..UnLabeledSampledVerticesEdge.7_851.txt.64   76.082176   991
/data/not_backed_up/ywei51/graph//datagen-sf3k-fb/csm/8192..UnLabeledSampledVerticesEdge.7_852.txt.64   52.442112   17
